file,status,quality_score,holdings,subtotals,fv_coverage,name_coverage,section_coverage,issues
b4bea53a-8804-4e08-a181-d73580d16ddf,EMPTY,0,0,0,,,,No soi_rows extracted
b4ce5b2e-6240-4fae-a9f8-c42b36d932a0,EMPTY,0,0,0,,,,No soi_rows extracted
b4f6f859-a4f7-409d-b389-ce52265a87f2,EMPTY,0,0,0,,,,No soi_rows extracted
b53b86b0-fa79-400c-aae2-690f07777b8c,EMPTY,0,0,0,,,,No soi_rows extracted
b6f4f637-e7ad-4ca6-a442-cc6daf0c78b8,EMPTY,0,0,0,,,,No soi_rows extracted
b8be8923-4747-4429-8cdc-5c2c7df0a00e,EMPTY,0,0,0,,,,No soi_rows extracted
b9b99f54-36ab-4284-9bbd-11c5b3ebb582,EMPTY,0,0,0,,,,No soi_rows extracted
ba53fde9-98ee-43dd-91ff-25da947c45c2,EMPTY,0,0,0,,,,No soi_rows extracted
ba550894-961a-4e96-8164-41ffa2c82125,EMPTY,0,0,0,,,,No soi_rows extracted
ba5f8814-589b-40e1-bcd4-a5187b6d9286,EMPTY,0,0,0,,,,No soi_rows extracted
bb20dfac-c894-4ea6-98e3-df356197e4c3,EMPTY,0,0,0,,,,No soi_rows extracted
bb379ac9-cc43-4411-b060-1a9908021d8b,EMPTY,0,0,0,,,,No soi_rows extracted
bc109acd-bdc0-4279-96d4-435018ec56a1,EMPTY,0,0,0,,,,No soi_rows extracted
bc167675-86be-41e2-894c-0e5bf7e09eca,EMPTY,0,0,0,,,,No soi_rows extracted
bc259635-a97c-4309-ad3a-0ab0791b229f,EMPTY,0,0,0,,,,No soi_rows extracted
bc42a19f-6a57-405a-85e5-4837f35c4ae2,EMPTY,0,0,0,,,,No soi_rows extracted
bca1f5ec-32fc-45bd-b90c-733eaf55b79b,EMPTY,0,0,0,,,,No soi_rows extracted
bce29912-92e0-4024-9ff6-0603094494a8,EMPTY,0,0,0,,,,No soi_rows extracted
bd077a36-4abc-44ef-80ba-ac37e75e2e01,EMPTY,0,0,0,,,,No soi_rows extracted
bd220399-7f52-4db9-8291-89fbf7b85b40,EMPTY,0,0,0,,,,No soi_rows extracted
bde77a6d-8d3e-475f-881f-e1874bc3499c,EMPTY,0,0,0,,,,No soi_rows extracted
be8d0716-8f4e-4f56-a0d6-bde54abe471f,EMPTY,0,0,0,,,,No soi_rows extracted
bf378244-8724-4dbc-b67e-6d398c229d8c,EMPTY,0,0,0,,,,No soi_rows extracted
bf44e18e-273b-41f1-8de3-ab07c52ed38e,EMPTY,0,0,0,,,,No soi_rows extracted
bf74f9be-a565-404d-88f3-713b7012547d,EMPTY,0,0,0,,,,No soi_rows extracted
bfa1c4cc-3df1-4135-b13c-a860de130d45,EMPTY,0,0,0,,,,No soi_rows extracted
bfa8a66c-6f1b-4633-b640-5e7f3e8bfcbb,EMPTY,0,0,0,,,,No soi_rows extracted
c046d185-2bfc-4585-83b5-f9bce886f7bc,EMPTY,0,0,0,,,,No soi_rows extracted
c08d9c45-399b-4cc0-ba5b-336102bcc3bd,EMPTY,0,0,0,,,,No soi_rows extracted
c14402fb-b27b-4566-9b3b-72335ebc874f,EMPTY,0,0,0,,,,No soi_rows extracted
c2559c93-9bf5-43ec-bb71-183a68cc9685,EMPTY,0,0,0,,,,No soi_rows extracted
c301f913-9e1c-45e4-8524-484ccd37bbeb,EMPTY,0,0,0,,,,No soi_rows extracted
c339a15f-26b1-4a6b-8107-b93050e497cc,EMPTY,0,0,0,,,,No soi_rows extracted
c3dcb591-05f2-46f6-a430-0410e27cf8ee,EMPTY,0,0,0,,,,No soi_rows extracted
c4088533-a133-457b-b00c-8fbcb25e2a07,EMPTY,0,0,0,,,,No soi_rows extracted
c44a8892-6b2e-417b-b8c5-6ea75acce641,EMPTY,0,0,0,,,,No soi_rows extracted
c530b074-b9fe-4c46-b57b-0ace8f0cd131,EMPTY,0,0,0,,,,No soi_rows extracted
c54e35f7-a8fe-4a34-8ec0-935f8ae9b0eb,EMPTY,0,0,0,,,,No soi_rows extracted
c5d9496b-4691-4757-964d-385de9a8bccf,EMPTY,0,0,0,,,,No soi_rows extracted
c65d40b2-d8b6-40af-88a3-842fcd8bdb00,EMPTY,0,0,0,,,,No soi_rows extracted
c67c81b5-9167-490b-8be9-714b6a978fab,EMPTY,0,0,0,,,,No soi_rows extracted
c7051831-1155-480e-b01c-c45124e5b3cf,EMPTY,0,0,0,,,,No soi_rows extracted
c732a55b-79b0-4e8a-93c7-77fb121cff1c,EMPTY,0,0,0,,,,No soi_rows extracted
c7b75c60-3c18-43e4-bffb-74af2c5dd75f,EMPTY,0,0,0,,,,No soi_rows extracted
c7e3ce6c-0e2d-48a2-8814-60210e91577d,EMPTY,0,0,0,,,,No soi_rows extracted
c8841695-66d2-4568-8a3e-e2ae960be395,EMPTY,0,0,0,,,,No soi_rows extracted
ca440f77-fe1a-42d1-aee2-780660e840d9,EMPTY,0,0,0,,,,No soi_rows extracted
cb4a5cc6-62ae-4d6e-a5a4-23f5791a20b9,EMPTY,0,0,0,,,,No soi_rows extracted
cb8e3890-41ee-4a91-87b5-49f6d2271042,EMPTY,0,0,0,,,,No soi_rows extracted
cc699642-75c7-4b02-921b-f29b65d57a8d,EMPTY,0,0,0,,,,No soi_rows extracted
ccb032dd-bd0c-469b-a04b-097c1f8cdc8f,EMPTY,0,0,0,,,,No soi_rows extracted
cd0ee621-3344-4cf8-ba33-434603870e75,EMPTY,0,0,0,,,,No soi_rows extracted
cd2606e6-a521-46e0-aaab-b7014dd5f30a,EMPTY,0,0,0,,,,No soi_rows extracted
d06de036-181a-48d5-a8ca-12dcb2c05be1,EMPTY,0,0,0,,,,No soi_rows extracted
d0a977bb-0a7f-4eb9-bb9f-7bf7b0c48e44,EMPTY,0,0,0,,,,No soi_rows extracted
d0d6c595-d668-4994-ba68-743a09b1c5b2,EMPTY,0,0,0,,,,No soi_rows extracted
d0dcfd75-414e-484f-a533-472aa217a257,EMPTY,0,0,0,,,,No soi_rows extracted
d11cca55-b1b2-4925-bba6-34eb84d9426b,EMPTY,0,0,0,,,,No soi_rows extracted
d1715598-62cf-46f7-a06d-6d1d784aea31,EMPTY,0,0,0,,,,No soi_rows extracted
d2618a9b-6ec9-491b-b72d-f86153e13122,EMPTY,0,0,0,,,,No soi_rows extracted
d35b1602-92a5-4ec8-af72-bc5931bffebc,EMPTY,0,0,0,,,,No soi_rows extracted
d5fcba06-009a-4596-9ec4-97534624a588,EMPTY,0,0,0,,,,No soi_rows extracted
d6a0b7be-04a3-408e-a29f-6eb8d376c905,EMPTY,0,0,0,,,,No soi_rows extracted
d6dc534b-079e-4fda-bcd0-900dab1c8e02,EMPTY,0,0,0,,,,No soi_rows extracted
d6e302ca-09e3-4f88-ae78-5256de28dce4,EMPTY,0,0,0,,,,No soi_rows extracted
d6fb4de6-dd02-4334-996f-354c45e0b4fa,EMPTY,0,0,0,,,,No soi_rows extracted
d736935a-63cd-40e6-9792-e6449317408d,EMPTY,0,0,0,,,,No soi_rows extracted
d7514477-8880-437e-b18a-07a60a787102,EMPTY,0,0,0,,,,No soi_rows extracted
d79c3b5b-674e-474e-986c-91fef2bbec57,EMPTY,0,0,0,,,,No soi_rows extracted
d853ca5a-ce33-43cf-94ae-7fb4cfcfc940,EMPTY,0,0,0,,,,No soi_rows extracted
d87a1896-d353-46df-85c3-dd6ffb44c921,EMPTY,0,0,0,,,,No soi_rows extracted
d8a53464-fe71-4e6e-8ca8-04823f57571e,EMPTY,0,0,0,,,,No soi_rows extracted
d9df8e50-d816-4d93-95d9-ac2c7e3aaaee,EMPTY,0,0,0,,,,No soi_rows extracted
da65ac26-6a4c-473d-adc0-f6d252a80753,EMPTY,0,0,0,,,,No soi_rows extracted
da867b77-05ef-412b-b8ea-0eebf834d153,EMPTY,0,0,0,,,,No soi_rows extracted
daeb8f96-3c46-428a-ba8c-6b20e6f8745b,EMPTY,0,0,0,,,,No soi_rows extracted
dcfff330-6347-4c80-ab12-e91ba48100ad,EMPTY,0,0,0,,,,No soi_rows extracted
df46f1f9-e45d-4e25-baa4-6e3f797dc68c,EMPTY,0,0,0,,,,No soi_rows extracted
dfa74783-a0b7-404b-bd93-7ec501d974fc,EMPTY,0,0,0,,,,No soi_rows extracted
dfd65fd4-ccb2-434d-973f-a467cf59e2b4,EMPTY,0,0,0,,,,No soi_rows extracted
e03b9359-6978-4099-bded-4e8db5fcde74,EMPTY,0,0,0,,,,No soi_rows extracted
e079cac2-bccb-4f2c-8637-4f73a5c903d8,EMPTY,0,0,0,,,,No soi_rows extracted
e0815b8a-5199-4622-bf24-87b211e9570e,EMPTY,0,0,0,,,,No soi_rows extracted
e088c3f9-fbf6-4b24-a9f7-8e56810b5c96,EMPTY,0,0,0,,,,No soi_rows extracted
e11d26f3-b573-4f13-9373-4874e9e7433d,EMPTY,0,0,0,,,,No soi_rows extracted
e13572c2-6e8b-4e4b-a067-8a51a6fae2ca,EMPTY,0,0,0,,,,No soi_rows extracted
e15fedda-7da0-4cdf-a108-fb63cba18679,EMPTY,0,0,0,,,,No soi_rows extracted
e1faa918-ec3b-4606-8dee-5d8624e19f21,EMPTY,0,0,0,,,,No soi_rows extracted
e2811a33-1959-4aed-ab44-572230e9a364,EMPTY,0,0,0,,,,No soi_rows extracted
e2c99301-eb73-4b5d-8240-4e11cc0a5309,EMPTY,0,0,0,,,,No soi_rows extracted
e3441a3b-484f-471c-a9f2-ec2d2638a1b4,EMPTY,0,0,0,,,,No soi_rows extracted
e34b18fa-d5ea-404e-a255-9d1d74ac941f,EMPTY,0,0,0,,,,No soi_rows extracted
e410b8ae-652b-425e-b84f-385d15181b2e,EMPTY,0,0,0,,,,No soi_rows extracted
e44143ce-332a-41ef-9360-94065cd156bc,EMPTY,0,0,0,,,,No soi_rows extracted
e51a53e8-5360-4cb9-a20e-92e271cb522b,EMPTY,0,0,0,,,,No soi_rows extracted
e5c21f82-1cf8-4055-bbf1-a2206cd5b07f,EMPTY,0,0,0,,,,No soi_rows extracted
e6eac96a-3a92-452c-aa6a-af2a7de02e55,EMPTY,0,0,0,,,,No soi_rows extracted
e722f382-5c55-47ec-bfdb-a733eef525e4,EMPTY,0,0,0,,,,No soi_rows extracted
e7c62707-0535-421f-9656-f2ae7d5c781c,EMPTY,0,0,0,,,,No soi_rows extracted
e83a33f8-fe23-4bb1-9231-eb00c4d30ed5,EMPTY,0,0,0,,,,No soi_rows extracted
e875a0b4-c743-4d24-bfcf-9fabe994c62c,EMPTY,0,0,0,,,,No soi_rows extracted
e947b157-a9d5-44a5-90dd-401de7efe301,EMPTY,0,0,0,,,,No soi_rows extracted
e9863a1f-5fd7-4907-83d3-8b51d13397b3,EMPTY,0,0,0,,,,No soi_rows extracted
e99f2e26-0a5d-4b1d-9046-1aac4457fbf1,EMPTY,0,0,0,,,,No soi_rows extracted
e9a1f29f-e985-45b0-bde7-86bef1238b78,EMPTY,0,0,0,,,,No soi_rows extracted
e9ed8f56-9a94-4029-968e-8ad73590d5a9,EMPTY,0,0,0,,,,No soi_rows extracted
ea271ed5-b9c2-4cbd-a9c9-0c0ec9602e55,EMPTY,0,0,0,,,,No soi_rows extracted
ea40a06e-48d2-4b4e-badf-9b4b866c8373,EMPTY,0,0,0,,,,No soi_rows extracted
eae4ae27-d808-4f07-bb5f-410c5b0f5269,EMPTY,0,0,0,,,,No soi_rows extracted
eba8fc5a-d2e3-480f-9827-6a959e4c7b2a,EMPTY,0,0,0,,,,No soi_rows extracted
ec7e0d37-7831-4cc3-8d03-275269971b63,EMPTY,0,0,0,,,,No soi_rows extracted
ec8d050b-e201-4fbb-a374-ca99deffda4f,EMPTY,0,0,0,,,,No soi_rows extracted
ec9650de-29c4-4ba4-b1a3-28985e5278ba,EMPTY,0,0,0,,,,No soi_rows extracted
ecf2b6b0-b9cd-462e-8b0f-c8d2c51ea40e,EMPTY,0,0,0,,,,No soi_rows extracted
ef5daccd-415d-420f-9331-b268e6f765d3,EMPTY,0,0,0,,,,No soi_rows extracted
eff2d4bf-a1bf-49d7-8d88-e7df76adcd46,EMPTY,0,0,0,,,,No soi_rows extracted
f0544d3b-3f5c-4cf9-82a0-738768d6ca72,EMPTY,0,0,0,,,,No soi_rows extracted
f0a33755-4828-48f2-87eb-189609bacff6,EMPTY,0,0,0,,,,No soi_rows extracted
f1bb331f-2d28-4ad0-874f-4d806e2fbdec,EMPTY,0,0,0,,,,No soi_rows extracted
f1eb5a8c-bddf-40d1-975f-fe64729b590e,EMPTY,0,0,0,,,,No soi_rows extracted
f33f8b6d-4b9b-4344-b1bf-4bcd59c189f1,EMPTY,0,0,0,,,,No soi_rows extracted
f36a1d58-0196-4ed6-9e2b-ca6a69735c4e,EMPTY,0,0,0,,,,No soi_rows extracted
f409d599-6f8c-4865-bf2a-77b920d077a4,EMPTY,0,0,0,,,,No soi_rows extracted
f4e7f603-6a08-4d43-9d35-8dac211fd987,EMPTY,0,0,0,,,,No soi_rows extracted
f4fcd211-7d7f-4723-a7ef-926c750cb594,EMPTY,0,0,0,,,,No soi_rows extracted
f5eacb62-73d0-4c5d-afd7-995154c9a191,EMPTY,0,0,0,,,,No soi_rows extracted
f6fdcc4b-7888-45d4-9d03-ab8032421165,EMPTY,0,0,0,,,,No soi_rows extracted
f703e1c5-44c6-495d-b2d0-13f88baeb389,EMPTY,0,0,0,,,,No soi_rows extracted
f7431c20-fae5-45a9-8b3f-3d82bdb0db67,EMPTY,0,0,0,,,,No soi_rows extracted
f8bdc9b9-d64a-48dd-849a-d5352bdbf08c,EMPTY,0,0,0,,,,No soi_rows extracted
fa125dcb-1367-4bcd-9ddf-920fa24ff2b0,EMPTY,0,0,0,,,,No soi_rows extracted
faa15e36-d872-40de-b5a7-a04c15a9e306,EMPTY,0,0,0,,,,No soi_rows extracted
fb2b0282-9cee-4704-ba3a-befb18796526,EMPTY,0,0,0,,,,No soi_rows extracted
fc88b062-244d-43b9-8eb2-97957d107fe3,EMPTY,0,0,0,,,,No soi_rows extracted
fc9d0dd6-5fb2-451f-901d-d266590a9542,EMPTY,0,0,0,,,,No soi_rows extracted
fcff78bf-6247-457b-b9fe-9a97a9273882,EMPTY,0,0,0,,,,No soi_rows extracted
fdcc8397-d0a0-41a7-9a68-612ba7476530,EMPTY,0,0,0,,,,No soi_rows extracted
fe4fd67e-2d47-48e4-8c70-1aae93e550a1,EMPTY,0,0,0,,,,No soi_rows extracted
fe6a5d4f-f10f-41dd-9441-61ff1740d9bf,EMPTY,0,0,0,,,,No soi_rows extracted
ff084f90-d3a2-4bd1-bd28-78cef2f4bb58,EMPTY,0,0,0,,,,No soi_rows extracted
ff586291-dfb3-4508-b5ba-5347cb89f08c,EMPTY,0,0,0,,,,No soi_rows extracted
