file,status,quality_score,holdings,subtotals,fv_coverage,name_coverage,section_coverage,issues
0000866095-03-000007,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-03-001497,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-03-001508,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-03-002644,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-04-000026,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-04-000035,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-04-001468,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-04-001475,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-05-000045,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-05-000053,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-05-002010,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-05-002017,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-06-000019,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-06-000026,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-06-002189,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-06-002196,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-07-000012,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-07-000021,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-07-001961,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-07-001968,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-08-000039,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-08-000046,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-08-002037,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-08-002090,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-08-002096,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-09-000034,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-09-000063,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-09-000070,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-09-002330,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-09-002337,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-10-000028,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-10-000053,EMPTY,0,0,0,,,,No soi_rows extracted
0000891804-10-000060,EMPTY,0,0,0,,,,No soi_rows extracted
0000893660-05-000007,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-03-000610,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-04-000017,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-04-000021,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-04-000588,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-04-000591,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-05-000010,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-05-000013,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-05-000540,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-05-000544,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-06-000017,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-06-000024,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-06-000594,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-06-000597,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-07-000029,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-07-000558,EMPTY,0,0,0,,,,No soi_rows extracted
0000898432-07-000561,EMPTY,0,0,0,,,,No soi_rows extracted
0000900092-04-000019,EMPTY,0,0,0,,,,No soi_rows extracted
0000900092-04-000082,EMPTY,0,0,0,,,,No soi_rows extracted
0000900092-04-000238,EMPTY,0,0,0,,,,No soi_rows extracted
0000900092-05-000062,EMPTY,0,0,0,,,,No soi_rows extracted
0000900092-05-000286,EMPTY,0,0,0,,,,No soi_rows extracted
0000900092-05-000408,EMPTY,0,0,0,,,,No soi_rows extracted
0000909012-03-000680,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-03-000023,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-04-000004,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-04-000011,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-05-000003,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-05-000037,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-06-000004,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-06-000014,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-07-000004,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-07-000011,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-08-000004,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-08-000014,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-09-000003,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-09-000026,EMPTY,0,0,0,,,,No soi_rows extracted
0000919893-10-000004,EMPTY,0,0,0,,,,No soi_rows extracted
0000921023-07-000038,EMPTY,0,0,0,,,,No soi_rows extracted
0000921023-08-000003,EMPTY,0,0,0,,,,No soi_rows extracted
0000921023-09-000025,EMPTY,0,0,0,,,,No soi_rows extracted
0000921023-14-000002,EMPTY,0,0,0,,,,No soi_rows extracted
0000921023-16-000059,EMPTY,0,0,0,,,,No soi_rows extracted
0000921023-17-000002,EMPTY,0,0,0,,,,No soi_rows extracted
006029ed-29f2-44ad-af17-9ce258c16557,EMPTY,0,0,0,,,,No soi_rows extracted
0101a48d-8868-443b-a883-d206a29b39f0,EMPTY,0,0,0,,,,No soi_rows extracted
0106b0c5-ecf5-41a1-a4e6-d43f1ce400c4,EMPTY,0,0,0,,,,No soi_rows extracted
01b10ee0-d847-4ffe-9303-f4c31a2b5d44,EMPTY,0,0,0,,,,No soi_rows extracted
01eafe5c-dd23-4483-86a6-4bb8a0199185,EMPTY,0,0,0,,,,No soi_rows extracted
02a0755a-7d87-44ba-b3df-5fb5f62c7446,EMPTY,0,0,0,,,,No soi_rows extracted
045660db-5ba4-46b9-88cd-121880bfc08e,EMPTY,0,0,0,,,,No soi_rows extracted
04667c36-c7d2-4433-a624-dab4246f5a8d,EMPTY,0,0,0,,,,No soi_rows extracted
04bd5080-6dae-4887-8b84-923e615cbea5,EMPTY,0,0,0,,,,No soi_rows extracted
04d23265-3b9a-47eb-9eb7-1e84f8b6a84e,EMPTY,0,0,0,,,,No soi_rows extracted
04eee071-4b08-4402-8226-bbc247b17232,EMPTY,0,0,0,,,,No soi_rows extracted
056d310b-ce60-4d83-a03b-c826ffdfd7be,EMPTY,0,0,0,,,,No soi_rows extracted
05d85644-2c4f-4cef-90d7-759fb7b63244,EMPTY,0,0,0,,,,No soi_rows extracted
065debd5-7388-46bb-8932-e2f5daae3d3c,EMPTY,0,0,0,,,,No soi_rows extracted
0684fbf9-ea56-48fa-b515-277d6db8782e,EMPTY,0,0,0,,,,No soi_rows extracted
0746b4f7-1aa8-4552-944d-8685aad68067,EMPTY,0,0,0,,,,No soi_rows extracted
0776051f-bde2-44ee-87c9-b1a577a2851c,EMPTY,0,0,0,,,,No soi_rows extracted
07e26c1e-d228-4310-9603-b79d9b914ecb,EMPTY,0,0,0,,,,No soi_rows extracted
08544061-d2ba-4035-bc6a-68bed5bc8566,EMPTY,0,0,0,,,,No soi_rows extracted
095a9bb1-5513-4638-93db-883bf47f0621,EMPTY,0,0,0,,,,No soi_rows extracted
0996475b-4c11-4933-bf66-8c321d1ba582,EMPTY,0,0,0,,,,No soi_rows extracted
09fa469e-6ee4-4154-b245-b4406ec4aa43,EMPTY,0,0,0,,,,No soi_rows extracted
0a466909-87df-441f-839e-a7e92df75040,EMPTY,0,0,0,,,,No soi_rows extracted
0a678037-178d-44c8-b00e-239ba63a2e0c,EMPTY,0,0,0,,,,No soi_rows extracted
0b331d7d-c008-47b1-a715-fa0ba61f2df7,EMPTY,0,0,0,,,,No soi_rows extracted
0b5ac1fd-88f2-436c-b0c4-ce5fffe63e05,EMPTY,0,0,0,,,,No soi_rows extracted
0b804752-c306-4d6c-b78c-b133e72110d4,EMPTY,0,0,0,,,,No soi_rows extracted
0c3ef084-8a2a-4e36-854b-8504c85a1e67,EMPTY,0,0,0,,,,No soi_rows extracted
0c5a4b35-ceea-4c10-ad21-1b0e96eedd20,EMPTY,0,0,0,,,,No soi_rows extracted
0e8e495f-7d85-4e9a-bc5c-2b4e5af77efe,EMPTY,0,0,0,,,,No soi_rows extracted
11c31d8d-6a93-4fab-9b72-77aea7a7307b,EMPTY,0,0,0,,,,No soi_rows extracted
1276c505-00bf-4e8a-bcd3-0af56529ad12,EMPTY,0,0,0,,,,No soi_rows extracted
12bcbf0d-450e-4af8-b296-40ead7d15b25,EMPTY,0,0,0,,,,No soi_rows extracted
12fea61b-6630-449a-9984-274789bf9639,EMPTY,0,0,0,,,,No soi_rows extracted
139b7cd9-7263-4f54-930e-8a1d6718e9bc,EMPTY,0,0,0,,,,No soi_rows extracted
144de86e-c855-4bcc-80cc-4cf2c65d76f8,EMPTY,0,0,0,,,,No soi_rows extracted
153efb56-cddb-4b4b-bdbe-08bba85a0818,EMPTY,0,0,0,,,,No soi_rows extracted
158e3762-2109-488d-a813-b2b7fa6f6d23,EMPTY,0,0,0,,,,No soi_rows extracted
16553105-015f-4962-9722-419474d01e84,EMPTY,0,0,0,,,,No soi_rows extracted
165cd8aa-80f1-4356-81a4-d85421ea5a09,EMPTY,0,0,0,,,,No soi_rows extracted
167ef720-e353-4b4b-80a4-dd8ef9679913,EMPTY,0,0,0,,,,No soi_rows extracted
16c72203-cebb-47b5-bdbe-c0d1cbadd14a,EMPTY,0,0,0,,,,No soi_rows extracted
16fe26ac-4b10-4637-b68c-b95cea50959f,EMPTY,0,0,0,,,,No soi_rows extracted
17395967-b2de-4166-83b4-d910d555ab57,EMPTY,0,0,0,,,,No soi_rows extracted
1745fc5b-385f-4d0d-9037-43ce82bf76cd,EMPTY,0,0,0,,,,No soi_rows extracted
17db84b8-3318-40af-97c1-ecdf951d5489,EMPTY,0,0,0,,,,No soi_rows extracted
181f6eed-33c3-4628-8d64-be6b90d59fc4,EMPTY,0,0,0,,,,No soi_rows extracted
18aed12f-41ca-4188-8d34-232bd68c5734,EMPTY,0,0,0,,,,No soi_rows extracted
18e0c6b6-01fc-4a75-a5c2-c225e77f342f,EMPTY,0,0,0,,,,No soi_rows extracted
19229262-5d39-4520-bb83-de9ed6428fe1,EMPTY,0,0,0,,,,No soi_rows extracted
19fbdcaf-ace6-45c9-9268-f74a5e906f57,EMPTY,0,0,0,,,,No soi_rows extracted
1a194445-7d71-4d2e-8ce1-912fd012d28c,EMPTY,0,0,0,,,,No soi_rows extracted
1a1ddc8f-7be9-4630-98ef-c66184ac96b5,EMPTY,0,0,0,,,,No soi_rows extracted
1a7afad9-3bc0-41b2-ad9e-dbdd83cf1c9b,EMPTY,0,0,0,,,,No soi_rows extracted
